morphotype	CEL	TSL1	TSL2	TSL3	TSL4	TSL5	TSL6	TSL7	TSL8	TSL9	TSL10	TSL11	TSL12	TSL13	TSL14	TSL15	TSL16	TSL17	TSL18	TSL19	TSL20	TSL21	TSL22	PYL
13	1.6344	0.1341	0.1567	0.1624	0.1773	0.1766	0.1626	0.1511	0.1397	0.1456	0.1284	0.1168	0.0883	0.0914	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3649
13	2.0122	0.1931	0.2096	0.2094	0.2027	0.1997	0.2192	0.1963	0.1963	0.1963	0.1766	0.1441	0.1309	0.1244	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5824
13	1.9774	0.1918	0.176	0.1886	0.1949	0.2043	0.1886	0.1855	0.1729	0.176	0.1666	0.1603	0.1446	0.1257	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.481
13	1.9509	0.1474	0.1602	0.1922	0.1858	0.1954	0.205	0.205	0.1698	0.1826	0.1794	0.141	0.1538	0.1089	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5542
13	1.9476	0.1763	0.1961	0.1895	0.2071	0.2071	0.1961	0.1961	0.1851	0.1807	0.1674	0.1587	0.1631	0.1388	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.542
13	2.274	0.1703	0.2217	0.2271	0.2461	0.2461	0.2352	0.2352	0.2271	0.219	0.2136	0.1892	0.1622	0.1406	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6246
13	2.2744	0.1877	0.1974	0.2311	0.2262	0.2214	0.2166	0.2238	0.2022	0.1974	0.1925	0.1805	0.1637	0.1516	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6619
13	1.7624	0.1602	0.1706	0.1769	0.179	0.1893	0.1893	0.1852	0.1748	0.1665	0.1686	0.1477	0.1311	0.1124	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5348
14	1.9487	0.1739	0.1816	0.2123	0.202	0.1995	0.1969	0.202	0.1969	0.1893	0.1816	0.1637	0.1637	0.1432	0.1074	NA	NA	NA	NA	NA	NA	NA	NA	0.6113
14	2.054	0.1582	0.1909	0.221	0.2128	0.2046	0.2127	0.221	0.221	0.18	0.1937	0.18	0.1664	0.1528	0.1227	NA	NA	NA	NA	NA	NA	NA	NA	0.5565
14	2.1914	0.1858	0.1937	0.2011	0.2092	0.2285	0.2206	0.1937	0.209	0.1858	0.1858	0.1742	0.1626	0.1395	0.1277	NA	NA	NA	NA	NA	NA	NA	NA	0.5266
14	2.2075	0.1937	0.1897	0.2179	0.2219	0.226	0.2058	0.1937	0.2139	0.1816	0.1897	0.1614	0.1614	0.1413	0.1211	NA	NA	NA	NA	NA	NA	NA	NA	0.5569
14	1.8224	0.1745	0.2004	0.2153	0.2079	0.2115	0.1893	0.2004	0.193	0.1633	0.1744	0.1559	0.1336	0.1262	0.1225	NA	NA	NA	NA	NA	NA	NA	NA	0.5048
14	2.1672	0.1764	0.1831	0.1959	0.1831	0.1864	0.1896	0.2059	0.1831	0.1864	0.1829	0.1601	0.1471	0.1538	0.1011	NA	NA	NA	NA	NA	NA	NA	NA	0.4415
14	2.2561	0.1562	0.1906	0.1867	0.2248	0.1982	0.2096	0.1982	0.2439	0.1906	0.1944	0.1639	0.1601	0.1372	0.1334	NA	NA	NA	NA	NA	NA	NA	NA	0.5678
14	2.284	0.181	0.1915	0.1845	0.2159	0.2089	0.2054	0.2228	0.1915	0.2019	0.1776	0.181	0.1567	0.1567	0.1218	NA	NA	NA	NA	NA	NA	NA	NA	0.5292
14	2.016	0.172	0.1787	0.1888	0.1955	0.1956	0.2023	0.1787	0.1787	0.1888	0.1719	0.1483	0.1281	0.1281	0.0978	NA	NA	NA	NA	NA	NA	NA	NA	0.4787
14	1.9349	0.1756	0.1662	0.1913	0.1976	0.1976	0.1976	0.1913	0.1662	0.1913	0.1756	0.1474	0.1474	0.1161	0.1097	NA	NA	NA	NA	NA	NA	NA	NA	0.4892
14	2.0153	0.1683	0.1895	0.2049	0.2017	0.2142	0.1987	0.1988	0.1775	0.1926	0.1805	0.1865	0.1407	0.1407	0.1254	NA	NA	NA	NA	NA	NA	NA	NA	0.5444
14	2.0378	0.1608	0.1948	0.2089	0.2089	0.2145	0.2173	0.189	0.1948	0.1862	0.1722	0.1694	0.1469	0.127	0.11	NA	NA	NA	NA	NA	NA	NA	NA	0.5307
14	1.9474	0.1475	0.1605	0.1891	0.1917	0.1889	0.2097	0.1942	0.1889	0.1813	0.1683	0.1734	0.145	0.1425	0.1165	NA	NA	NA	NA	NA	NA	NA	NA	0.5411
