	"morphotype" "CEL" "TS1" "TS2" "TS3" "TS4" "TS5" "TS6" "TS7" "TS8" "TS9" "TS10" "TS11" "TS12" "TS13" "PYL"
"AMNH-FI-116766" 7 1.1791 0.1568 0.1461 0.1584 0.1471 0.1406 0.1302 0.1183 NA NA NA NA NA NA 0.4481
"AMNH-FI-116841" 7 1.2303 0.158 0.1537 0.162 0.1591 0.1292 0.1438 0.1091 NA NA NA NA NA NA 0.4559
"AMNH-FI-116846" 7 1.3345 0.1448 0.1697 0.1805 0.1534 0.1472 0.1459 0.1294 NA NA NA NA NA NA 0.5783
"AMNH-FI-117180" 7 1.1137 0.1639 0.1578 0.1408 0.1576 0.1417 0.1299 0.1356 NA NA NA NA NA NA 0.4871
"AMNH-FI-115593" 6 1.031 0.1454 0.1496 0.1455 0.1405 0.1314 0.1141 NA NA NA NA NA NA NA 0.4521
"AMNH-FI-115659" 6 1.1421 0.1252 0.1394 0.1293 0.1365 0.1338 0.1151 NA NA NA NA NA NA NA 0.4463
"AMNH-FI-115738" 6 1.0911 0.1443 0.1417 0.1459 0.1307 0.1188 0.1212 NA NA NA NA NA NA NA 0.414
"AMNH-FI-115744" 6 1.051 0.1244 0.1548 0.138 0.1259 0.1275 0.1111 NA NA NA NA NA NA NA 0.4572
"AMNH-FI-117146" 6 1.148 0.1447 0.1353 0.1413 0.1383 0.1341 0.1244 NA NA NA NA NA NA NA 0.4658
"AMNH-FI-117215" 6 1.1915 0.1329 0.1571 0.138 0.143 0.1346 0.1202 NA NA NA NA NA NA NA 0.5311
"AMNH-FI-117220" 6 1.1363 0.1454 0.1378 0.142 0.1447 0.1348 0.1057 NA NA NA NA NA NA NA 0.4833
"AMNH-FI-117244" 6 1.0674 0.1503 0.1575 0.1609 0.1385 0.1459 0.1305 NA NA NA NA NA NA NA 0.598
"AMNH-FI-115560" 5 1.0841 0.1426 0.1403 0.1385 0.1399 0.1259 NA NA NA NA NA NA NA NA 0.465
"AMNH-FI-115725" 5 0.9912 0.1425 0.1388 0.1308 0.1282 0.1101 NA NA NA NA NA NA NA NA 0.4341
"AMNH-FI-116750" 5 1.0731 0.1343 0.145 0.1437 0.1344 0.1244 NA NA NA NA NA NA NA NA 0.5038
"AMNH-FI-116847" 5 0.9767 0.1277 0.1401 0.1404 0.1211 0.1156 NA NA NA NA NA NA NA NA 0.4361
